City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
7,Kapaa,US,82.38,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
11,Oussouye,SN,77.32,light rain,12.485,-16.5469,Auberge du Routard
12,Urucara,BR,76.68,overcast clouds,-2.5364,-57.76,Pousada Maria Bonita
26,Alenquer,BR,77.34,scattered clouds,-1.9417,-54.7383,Josilene Castro
36,Dehloran,IR,84.02,clear sky,32.6941,47.2679,کافه گیم استورم
38,Cabo San Lucas,MX,84.61,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
39,Samarai,PG,80.53,broken clouds,-10.6167,150.6667,Nuli Sapi
40,Bubaque,GW,80.71,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
45,Tiarei,PF,82.42,clear sky,-17.5333,-149.3333,Le Rocher de Tahiti
49,Ha Tinh,VN,78.17,moderate rain,18.3333,105.9,Phú Quý
50,Neiafu,TO,77.68,broken clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
53,Atuona,PF,77.67,overcast clouds,-9.8,-139.0333,Villa Enata
64,Pundaguitan,PH,82.26,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
68,Kattivakkam,IN,87.89,overcast clouds,13.2167,80.3167,Euronova Freezer
78,Hilo,US,78.28,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
84,Airai,TL,79.07,scattered clouds,-8.9266,125.4092,Juvinal Martin
86,Gizo,SB,84.15,light rain,-8.103,156.8419,Imagination Island
88,Vaini,TO,75.36,few clouds,-21.2,-175.2,Keleti Beach Resort
92,San Juan,AR,75.72,clear sky,-31.5375,-68.5364,Hotel Provincial
94,Faanui,PF,77.23,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
98,Salalah,OM,82.49,broken clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
101,Hithadhoo,MV,82.71,overcast clouds,-0.6,73.0833,Scoop Guest House
