City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
0,Punta Arenas,-53.15,-70.9167,37.51,87,20,12.66,CL,few clouds
1,Chokurdakh,70.6333,147.9167,34.74,87,100,16.96,RU,overcast clouds
2,Saskylakh,71.9167,114.0833,33.01,84,100,14.99,RU,overcast clouds
3,Vestmannaeyjar,63.4427,-20.2734,42.8,79,92,6.64,IS,overcast clouds
4,Busselton,-33.65,115.3333,63.05,55,3,16.46,AU,clear sky
5,Dikson,73.5069,80.5464,35.96,88,100,17.38,RU,overcast clouds
6,Barrow,71.2906,-156.7887,28.42,86,90,4.61,US,light snow
7,Kapaa,22.0752,-159.319,82.38,76,90,1.99,US,light rain
8,Jamestown,42.097,-79.2353,58.71,87,1,1.01,US,clear sky
9,Arraial Do Cabo,-22.9661,-42.0278,69.21,77,51,24.02,BR,broken clouds
10,Duku,11.2361,4.9073,73.09,92,83,4.34,NG,broken clouds
11,Oussouye,12.485,-16.5469,77.32,91,54,1.74,SN,light rain
12,Urucara,-2.5364,-57.76,76.68,78,100,0.45,BR,overcast clouds
13,Necochea,-38.5473,-58.7368,49.03,89,0,11.68,AR,clear sky
14,Castro,-24.7911,-50.0119,55.18,97,34,5.1,BR,scattered clouds
15,Husavik,66.0449,-17.3389,33.71,91,100,8.46,IS,light rain
16,Hermanus,-34.4187,19.2345,54.9,82,100,4.5,ZA,overcast clouds
17,Tiksi,71.6872,128.8694,32.95,83,100,20.18,RU,overcast clouds
18,Saint-Philippe,-21.3585,55.7679,71.15,83,4,13.96,RE,light rain
19,New Norfolk,-42.7826,147.0587,50.72,67,72,5.01,AU,broken clouds
20,Rikitea,-23.1203,-134.9692,74.05,79,100,16.71,PF,light rain
21,Maldonado,-34.6667,-54.9167,56.59,97,60,3.67,UY,broken clouds
22,Copiapo,-27.3667,-70.3333,51.49,63,0,1.77,CL,clear sky
23,Bendigo,-36.7667,144.2833,53.65,42,89,11.25,AU,overcast clouds
24,Adrar,20.5022,-10.0711,87.51,21,68,7.43,MR,broken clouds
25,Ushuaia,-54.8,-68.3,37.06,93,75,5.75,AR,light rain
26,Alenquer,-1.9417,-54.7383,77.34,72,28,3.69,BR,scattered clouds
