City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Strezhevoy,RU,2021-09-21 20:26:40,60.7333,77.5889,33.78,98,100,5.28
1,Jamestown,US,2021-09-21 20:26:41,42.097,-79.2353,74.01,70,75,4.0
2,Huanren,CN,2021-09-21 20:26:41,41.2647,125.3667,56.37,97,100,4.09
3,Ponta Do Sol,PT,2021-09-21 20:26:41,32.6667,-17.1,74.03,72,72,5.19
4,Salinas,US,2021-09-21 20:22:43,36.6777,-121.6555,102.56,32,1,10.36
5,Vanimo,PG,2021-09-21 20:26:42,-2.6741,141.3028,76.78,90,100,2.68
6,Ushuaia,AR,2021-09-21 20:26:42,-54.8,-68.3,49.66,76,75,8.05
7,Albany,US,2021-09-21 20:26:42,42.6001,-73.9662,73.58,63,92,9.19
8,Hofn,IS,2021-09-21 20:26:43,64.2539,-15.2082,46.54,71,22,44.18
9,Liaoyang,CN,2021-09-21 20:26:43,41.2719,123.1731,55.72,91,100,7.9
10,Sisimiut,GL,2021-09-21 20:26:43,66.9395,-53.6735,34.54,71,87,4.59
11,Yulara,AU,2021-09-21 20:26:44,-25.2406,130.9889,44.44,49,41,6.91
12,Luderitz,NA,2021-09-21 20:26:44,-26.6481,15.1594,66.69,44,11,8.25
13,Codrington,AU,2021-09-21 20:26:44,-38.2667,141.9667,50.7,94,100,6.96
14,Mahebourg,MU,2021-09-21 20:26:45,-20.4081,57.7,70.25,68,75,8.05
15,Nikolskoye,RU,2021-09-21 20:26:45,59.7035,30.7861,44.49,81,100,5.5
16,Rikitea,PF,2021-09-21 20:26:45,-23.1203,-134.9692,73.76,71,1,13.8
17,Luganville,VU,2021-09-21 20:26:46,-15.5333,167.1667,76.91,77,69,2.21
18,Haines Junction,CA,2021-09-21 20:26:46,60.7522,-137.5108,33.75,86,100,11.5
19,Cape Town,ZA,2021-09-21 20:22:46,-33.9258,18.4232,57.61,77,0,3.0
20,Thunder Bay,CA,2021-09-21 20:24:40,48.4001,-89.3168,62.58,50,75,13.8
21,Qaanaaq,GL,2021-09-21 20:26:47,77.484,-69.3632,14.07,72,14,6.85
22,Akhmeta,GE,2021-09-21 20:26:47,42.0311,45.2075,72.12,51,100,5.97
23,Avarua,CK,2021-09-21 20:26:47,-21.2078,-159.775,77.05,83,75,6.91
24,Burns Lake,CA,2021-09-21 20:26:48,54.2331,-125.7533,53.02,66,100,9.06
25,Punta Arenas,CL,2021-09-21 20:26:48,-53.15,-70.9167,57.31,58,0,20.71
26,Hualmay,PE,2021-09-21 20:26:48,-11.0964,-77.6139,66.7,73,26,10.54
27,Kirakira,SB,2021-09-21 20:26:49,-10.4544,161.9205,78.8,85,80,5.37
28,Hobart,AU,2021-09-21 20:25:20,-42.8794,147.3294,55.26,80,40,1.99
29,Penzberg,DE,2021-09-21 20:26:49,47.75,11.3833,51.6,91,99,2.82
30,Tuktoyaktuk,CA,2021-09-21 20:26:50,69.4541,-133.0374,37.4,70,90,14.97
31,Asfi,MA,2021-09-21 20:26:50,32.2994,-9.2372,69.94,84,0,7.45
32,Busselton,AU,2021-09-21 20:26:50,-33.65,115.3333,55.45,74,0,4.09
33,Sambava,MG,2021-09-21 20:26:51,-14.2667,50.1667,72.52,72,38,12.64
34,Humberto De Campos,BR,2021-09-21 20:26:51,-2.5983,-43.4611,83.5,64,89,9.75
35,Bredasdorp,ZA,2021-09-21 20:26:51,-34.5322,20.0403,50.29,81,3,5.75
36,Carnarvon,AU,2021-09-21 20:26:52,-24.8667,113.6333,53.67,94,0,6.91
37,Udachnyy,RU,2021-09-21 20:26:52,66.4167,112.4,40.82,61,100,3.78
38,Flinders,AU,2021-09-21 20:26:53,-34.5833,150.8552,50.18,64,50,3.0
39,Geraldton,AU,2021-09-21 20:26:53,-28.7667,114.6,54.01,37,0,13.8
40,Morros,BR,2021-09-21 20:26:53,-9.4467,-46.3003,99.52,12,39,5.93
41,Katsuura,JP,2021-09-21 20:26:54,35.1333,140.3,73.51,91,100,1.72
42,Mataura,NZ,2021-09-21 20:26:54,-46.1927,168.8643,45.48,89,28,1.57
43,Veraval,IN,2021-09-21 20:26:54,20.9,70.3667,80.67,86,94,16.22
44,Turinskaya Sloboda,RU,2021-09-21 20:26:55,57.6232,64.3858,34.3,89,24,5.57
45,San Cristobal,VE,2021-09-21 20:26:55,7.7669,-72.225,80.78,83,100,5.99
46,San Francisco,US,2021-09-21 20:24:07,37.7749,-122.4194,99.63,35,20,0.0
47,Saint-Leu,RE,2021-09-21 20:26:56,-21.15,55.2833,65.26,68,1,2.17
48,Fort Nelson,CA,2021-09-21 20:26:56,58.8053,-122.7002,62.19,42,40,4.61
49,Dalbandin,PK,2021-09-21 20:26:56,28.8947,64.4101,78.82,12,0,1.86
50,Davila,PH,2021-09-21 20:26:57,18.4726,120.5763,81.09,82,29,4.18
51,Chumikan,RU,2021-09-21 20:26:57,54.7183,135.315,39.63,70,0,1.12
52,Bluff,NZ,2021-09-21 20:26:57,-46.6,168.3333,45.81,69,60,19.84
53,Te Anau,NZ,2021-09-21 20:26:58,-45.4167,167.7167,39.52,92,51,0.58
54,Puerto Ayora,EC,2021-09-21 20:26:58,-0.7393,-90.3518,76.96,83,74,11.01
55,Sechura,PE,2021-09-21 20:26:58,-5.5569,-80.8222,75.13,59,34,18.45
56,La Ronge,CA,2021-09-21 20:26:59,55.1001,-105.2842,61.02,55,90,6.91
57,Taruma,BR,2021-09-21 20:26:59,-22.7467,-50.5772,100.89,13,14,4.54
58,Severo-Kurilsk,RU,2021-09-21 20:26:59,50.6789,156.125,48.16,86,27,12.41
59,Kahului,US,2021-09-21 20:23:38,20.8947,-156.47,82.42,58,40,21.85
60,Carora,VE,2021-09-21 20:27:00,10.1755,-70.0827,93.07,37,98,1.88
61,Nanortalik,GL,2021-09-21 20:27:00,60.1432,-45.2371,36.77,78,96,14.23
62,Sawakin,SD,2021-09-21 20:27:01,19.1059,37.3321,89.82,54,1,10.18
63,Bengkulu,ID,2021-09-21 20:27:01,-3.8004,102.2655,74.59,91,100,4.29
64,Dingle,PH,2021-09-21 20:27:01,10.9995,122.6711,74.57,92,96,3.74
65,Kavaratti,IN,2021-09-21 20:27:02,10.5669,72.642,81.63,79,27,16.13
66,Oksfjord,NO,2021-09-21 20:27:02,70.2396,22.3479,45.52,79,13,13.42
67,Timizart,DZ,2021-09-21 20:26:02,36.8,4.2667,65.5,85,100,7.29
68,Fukue,JP,2021-09-21 20:27:03,32.6881,128.8419,75.49,74,0,11.56
69,Guerrero Negro,MX,2021-09-21 20:26:56,27.9769,-114.0611,86.76,45,6,7.63
70,Stornoway,GB,2021-09-21 20:27:03,58.2093,-6.3865,58.96,77,40,37.98
71,Ancud,CL,2021-09-21 20:27:03,-41.8697,-73.8203,62.13,67,0,3.94
72,Ossora,RU,2021-09-21 20:27:04,59.2353,163.0719,48.69,89,100,10.47
73,Laurel,US,2021-09-21 20:27:04,39.0993,-76.8483,81.52,69,90,3.0
74,Imbituba,BR,2021-09-21 20:27:05,-28.24,-48.6703,67.89,79,100,22.95
75,Constantine,DZ,2021-09-21 20:27:05,36.365,6.6147,63.81,88,75,10.36
76,Atuona,PF,2021-09-21 20:27:05,-9.8,-139.0333,77.9,71,30,23.06
77,Tuatapere,NZ,2021-09-21 20:27:05,-46.1333,167.6833,45.82,87,16,3.71
78,Grand-Lahou,CI,2021-09-21 20:27:06,5.1367,-5.0242,75.92,94,84,7.0
79,Yellowknife,CA,2021-09-21 20:27:06,62.456,-114.3525,50.52,71,90,14.97
80,Sabang,ID,2021-09-21 20:27:07,5.8933,95.3214,82.13,75,100,22.73
81,Kaitangata,NZ,2021-09-21 20:27:08,-46.2817,169.8464,43.3,80,13,6.06
82,Trinidad,BO,2021-09-21 20:27:08,-14.8333,-64.9,99.9,24,90,5.32
83,Ribeira Grande,PT,2021-09-21 20:27:08,38.5167,-28.7,72.0,83,40,14.97
84,Cidreira,BR,2021-09-21 20:27:09,-30.1811,-50.2056,60.58,62,66,17.83
85,Liverpool,GB,2021-09-21 20:26:59,53.4106,-2.9779,59.14,82,100,1.92
86,Odweyne,SO,2021-09-21 20:27:09,9.4092,45.064,80.56,44,76,14.45
87,Tabory,RU,2021-09-21 20:27:10,58.5198,64.5495,33.98,89,100,5.03
88,Kilindoni,TZ,2021-09-21 20:27:10,-7.9139,39.6668,76.39,80,0,13.02
89,Komsomolskiy,UZ,2021-09-21 20:27:10,40.4272,71.7189,65.12,45,0,4.61
90,Hami,CN,2021-09-21 20:27:11,42.8,93.45,68.94,27,88,4.14
91,Karratha,AU,2021-09-21 20:27:11,-20.7377,116.8463,80.47,22,100,21.32
92,Katiola,CI,2021-09-21 20:27:11,8.1333,-5.1,74.46,88,95,4.72
93,Ilovka,RU,2021-09-21 20:27:12,50.7053,38.637,48.24,89,100,6.24
94,Cherskiy,RU,2021-09-21 20:27:12,68.75,161.3,27.34,68,100,5.1
95,Havre-Saint-Pierre,CA,2021-09-21 20:27:12,50.2334,-63.5986,62.96,67,1,9.22
96,Voh,NC,2021-09-21 20:27:13,-20.9667,164.7,69.85,66,47,3.89
97,Mitu,CO,2021-09-21 20:27:13,1.1983,-70.1733,80.22,86,100,1.52
98,Sorsk,RU,2021-09-21 20:27:13,54.0033,90.2467,29.68,91,100,4.65
99,Srednekolymsk,RU,2021-09-21 20:27:14,67.45,153.6833,29.62,53,100,1.41
100,Port Elizabeth,ZA,2021-09-21 20:24:37,-33.918,25.5701,52.09,87,40,0.0
101,Port Alfred,ZA,2021-09-21 20:27:14,-33.5906,26.891,57.09,75,98,1.32
102,Yeppoon,AU,2021-09-21 20:27:15,-23.1333,150.7333,51.58,42,0,13.76
103,Nha Trang,VN,2021-09-21 20:27:15,12.25,109.1833,78.8,91,78,4.45
104,Thompson,CA,2021-09-21 20:25:07,55.7435,-97.8558,48.36,57,75,5.75
105,Salalah,OM,2021-09-21 20:23:19,17.0151,54.0924,80.69,83,75,5.75
106,Ponta Delgada,PT,2021-09-21 20:27:16,37.7333,-25.6667,72.32,68,75,8.05
107,Barrow,US,2021-09-21 20:27:16,71.2906,-156.7887,33.82,69,90,20.71
108,Port Hardy,CA,2021-09-21 20:27:17,50.6996,-127.4199,60.98,77,90,10.36
109,Kisoro,UG,2021-09-21 20:27:17,-1.2854,29.685,59.34,81,89,0.94
110,Hilo,US,2021-09-21 20:23:01,19.7297,-155.09,78.8,78,90,5.75
111,Mwene-Ditu,CD,2021-09-21 20:27:18,-7.0,23.45,78.67,34,24,3.78
